"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
74,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.99,644,644.39,644.4,644.48,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,10,367.74277,15.25,2,0.20011992,20180423 14:15:38.361891,20180423 14:14:39.000000,1
75,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.97,643.99,644,644.39,644.4,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,25,10,367.74277,15.25,2,20180423 14:15:38.367576,20180423 14:14:39.000000,1
76,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.97,643.98,643.99,644,644.39,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,25,36.67992821,10,367.74277,15.25,20180423 14:15:38.369269,20180423 14:14:39.000000,1
77,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.97,643.98,643.99,644,644.39,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,25,36.67992821,0.25,367.74277,15.25,20180423 14:15:38.370566,20180423 14:14:39.000000,1
78,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.97,643.98,643.99,644,644.39,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,25,36.67992821,0.25,367.14711797,15.25,20180423 14:15:38.372081,20180423 14:14:39.000000,1
79,644,0.59565203,643.96,643.88,643.78,643.64,643.54,643.97,643.98,643.99,644,644.39,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,25,36.67992821,0.25,367.14711797,15,20180423 14:15:38.373309,20180423 14:14:39.000000,1
85,643.97,0.13286679,643.96,643.88,643.78,643.64,643.54,643.97,643.98,643.99,644,644.39,4.61566091,0.89986701,8.52714475,6.90827667,32.6237,25,36.67992821,0.25,367.14711797,15,20180423 14:15:38.379724,20180423 14:14:39.000000,2
86,643.97,0.13286679,643.88,643.78,643.64,643.54,643.36,643.97,643.98,643.99,644,644.39,0.89986701,8.52714475,6.90827667,32.6237,104,25,36.67992821,0.25,367.14711797,15,20180423 14:15:38.718664,20180423 14:14:39.000000,1
87,643.97,0.13286679,643.78,643.64,643.54,643.36,643.28,643.97,643.98,643.99,644,644.39,8.52714475,6.90827667,32.6237,104,6.90794012,25,36.67992821,0.25,367.14711797,15,20180423 14:15:38.720020,20180423 14:14:39.000000,1
88,643.97,0.13286679,643.78,643.54,643.36,643.28,643.26,643.97,643.98,643.99,644,644.39,8.52714475,32.6237,104,6.90794012,48.9295,25,36.67992821,0.25,367.14711797,15,20180423 14:15:38.721283,20180423 14:14:39.000000,1
89,643.97,0.13286679,643.78,643.54,643.36,643.28,643.09,643.97,643.98,643.99,644,644.39,8.52714475,32.6237,104,6.90794012,25.6177754,25,36.67992821,0.25,367.14711797,15,20180423 14:15:38.722574,20180423 14:14:39.000000,1
90,643.97,0.13286679,643.78,643.54,643.36,643.28,643.09,643.97,643.98,644,644.39,644.4,8.52714475,32.6237,104,6.90794012,25.6177754,25,36.67992821,367.14711797,15,2,20180423 14:15:38.723779,20180423 14:14:39.000000,1
91,643.97,0.13286679,643.82,643.78,643.54,643.36,643.28,643.97,643.98,644,644.39,644.4,19.4538,8.52714475,32.6237,104,6.90794012,25,36.67992821,367.14711797,15,2,20180423 14:15:38.728800,20180423 14:14:39.000000,1
92,643.97,0.13286679,643.82,643.81,643.78,643.54,643.36,643.97,643.98,644,644.39,644.4,19.4538,1.51498037,8.52714475,32.6237,104,25,36.67992821,367.14711797,15,2,20180423 14:15:38.730033,20180423 14:14:39.000000,1
93,643.97,0.13286679,643.82,643.81,643.78,643.54,643.36,643.97,643.98,644,644.39,644.4,19.4538,1.51498037,8.52714475,32.6237,104,28.29473621,36.67992821,367.14711797,15,2,20180423 14:15:38.738695,20180423 14:14:39.000000,1
94,643.97,0.13286679,643.82,643.81,643.78,643.54,643.36,643.97,643.98,644,644.39,644.4,19.4538,1.51498037,8.52714475,32.6237,104,28.29473621,19.2523252,367.14711797,15,2,20180423 14:15:38.740390,20180423 14:14:39.000000,1
100,643.96,0.51707595,643.82,643.81,643.78,643.54,643.36,643.97,643.98,644,644.39,644.4,19.4538,1.51498037,8.52714475,32.6237,104,28.29473621,19.2523252,367.14711797,15,2,20180423 14:15:38.746793,20180423 14:14:39.000000,2
107,643.89,1.5509575,643.82,643.81,643.78,643.54,643.36,643.97,643.98,644,644.39,644.4,19.4538,1.51498037,8.52714475,32.6237,104,28.29473621,19.2523252,367.14711797,15,2,20180423 14:15:38.746793,20180423 14:14:39.000000,2
108,643.89,1.5509575,643.82,643.78,643.54,643.36,643.28,643.97,643.98,644,644.39,644.4,19.4538,8.52714475,32.6237,104,6.90794012,28.29473621,19.2523252,367.14711797,15,2,20180423 14:15:39.107959,20180423 14:14:39.000000,1
109,643.89,1.5509575,643.82,643.78,643.54,643.36,643.28,643.97,644,644.39,644.4,644.48,19.4538,8.52714475,32.6237,104,6.90794012,28.29473621,367.14711797,15,2,0.20011992,20180423 14:15:39.111561,20180423 14:14:39.000000,1
110,643.89,1.5509575,643.89,643.82,643.78,643.54,643.36,643.97,644,644.39,644.4,644.48,21.44904249,19.4538,8.52714475,32.6237,104,28.29473621,367.14711797,15,2,0.20011992,20180423 14:15:39.117576,20180423 14:14:39.000000,1
111,643.89,1.5509575,643.89,643.82,643.78,643.72,643.54,643.97,644,644.39,644.4,644.48,21.44904249,19.4538,8.52714475,2.87381978,32.6237,28.29473621,367.14711797,15,2,0.20011992,20180423 14:15:39.121414,20180423 14:14:39.000000,1
112,643.89,1.5509575,643.89,643.82,643.78,643.72,643.54,643.96,643.97,644,644.39,644.4,21.44904249,19.4538,8.52714475,2.87381978,32.6237,39.73524732,28.29473621,367.14711797,15,2,20180423 14:15:39.124667,20180423 14:14:39.000000,1
113,643.89,1.5509575,643.89,643.82,643.78,643.72,643.54,643.96,643.97,644,644.39,644.4,21.44904249,19.4538,8.52714475,2.87381978,32.6237,39.73524732,21.54473621,367.14711797,15,2,20180423 14:15:39.125961,20180423 14:14:39.000000,1
120,643.89,1.5509575,643.82,643.78,643.72,643.54,643.36,643.96,643.97,644,644.39,644.4,19.4538,8.52714475,2.87381978,32.6237,23.8298,39.73524732,21.54473621,367.14711797,15,2,20180423 14:15:39.454811,20180423 14:14:39.000000,1
121,643.89,1.5509575,643.83,643.82,643.78,643.72,643.54,643.96,643.97,644,644.39,644.4,23,19.4538,8.52714475,2.87381978,32.6237,39.73524732,21.54473621,367.14711797,15,2,20180423 14:15:39.461197,20180423 14:14:39.000000,1
122,643.89,1.5509575,643.83,643.82,643.78,643.72,643.54,643.84,643.96,643.97,644,644.39,23,19.4538,8.52714475,2.87381978,32.6237,10,39.73524732,21.54473621,367.14711797,15,20180423 14:15:39.462455,20180423 14:14:39.000000,1
123,643.89,1.5509575,643.83,643.82,643.78,643.72,643.54,643.84,643.95,643.96,643.97,644,23,19.4538,8.52714475,2.87381978,32.6237,10,3,39.73524732,21.54473621,367.14711797,20180423 14:15:39.463695,20180423 14:14:39.000000,1
124,643.89,1.5509575,643.83,643.82,643.78,643.72,643.54,643.84,643.95,643.96,643.97,644,23,19.4538,8.52714475,2.87381978,32.6237,10,3,43.16285032,21.54473621,367.14711797,20180423 14:15:39.466958,20180423 14:14:39.000000,1
125,643.89,1.5509575,643.83,643.82,643.78,643.72,643.54,643.84,643.95,643.96,643.97,644,23,19.4538,8.52714475,2.87381978,32.6237,10,3,43.16285032,15.11713321,367.14711797,20180423 14:15:39.468226,20180423 14:14:39.000000,1
130,643.84,0.70371772,643.83,643.82,643.78,643.72,643.54,643.84,643.95,643.96,643.97,644,23,19.4538,8.52714475,2.87381978,32.6237,10,3,43.16285032,15.11713321,367.14711797,20180423 14:15:39.472103,20180423 14:14:40.000000,2
136,643.83,11,643.83,643.82,643.78,643.72,643.54,643.84,643.95,643.96,643.97,644,23,19.4538,8.52714475,2.87381978,32.6237,10,3,43.16285032,15.11713321,367.14711797,20180423 14:15:39.472103,20180423 14:14:40.000000,2
137,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.95,643.96,643.97,644,23,19.4538,8.52714475,2.87381978,32.6237,10,3,43.16285032,15.11713321,367.14711797,20180423 14:15:39.472103,20180423 14:14:40.000000,2
139,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.96,643.97,644,644.39,23,19.4538,8.52714475,2.87381978,32.6237,10,43.16285032,15.11713321,367.14711797,15,20180423 14:15:39.818035,20180423 14:14:40.000000,1
140,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.96,643.97,644,644.39,7.56457858,19.4538,8.52714475,2.87381978,32.6237,10,43.16285032,15.11713321,367.14711797,15,20180423 14:15:39.823007,20180423 14:14:40.000000,1
141,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.96,643.97,644,644.39,7.56457858,19.4538,8.52714475,2.87381978,32.6237,51.22388528,43.16285032,15.11713321,367.14711797,15,20180423 14:15:39.828431,20180423 14:14:40.000000,1
142,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.85,643.96,643.97,644,7.56457858,19.4538,8.52714475,2.87381978,32.6237,51.22388528,10,43.16285032,15.11713321,367.14711797,20180423 14:15:39.829704,20180423 14:14:40.000000,1
143,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.85,643.96,643.97,644,7.56457858,19.4538,8.52714475,2.87381978,32.6237,51.22388528,10,9.75232327,15.11713321,367.14711797,20180423 14:15:39.831014,20180423 14:14:40.000000,1
144,643.83,4.43542142,643.83,643.82,643.78,643.72,643.54,643.84,643.85,643.96,643.97,644,7.56457858,19.4538,8.52714475,2.87381978,32.6237,51.22388528,10,9.75232327,14.86713321,367.14711797,20180423 14:15:39.832254,20180423 14:14:40.000000,1
